Classifier;Iris;Wine;Breast Cancer;Digits;KeyStrokeDynamics
Nearest Neighbors;0,00388;0,00370;0,03152;0,04324;0,82443
Linear SVM;0,00211;0,00205;0,00698;0,04169;13,44148
RBF SVM;0,00105;0,00140;0,00520;0,23829;10,66925
Decision Tree;0,00073;0,00078;0,00448;0,00898;0,24327
Random Forest;0,01260;0,01254;0,01435;0,01659;0,11082
Neural Net;0,23473;0,17955;0,60245;2,28923;11,42155
AdaBoost;0,11092;0,08358;0,11813;0,18242;4,55040
Naive Bayes;0,00086;0,00076;0,00073;0,00253;0,05283
Logistic Regression;0,00524;0,00368;0,00360;0,15477;3,42128
Gradient Boosting;1,10343;0,81217;0,56574;6,03638;26,42824
